Station Name,City,State,ZIP,Status Code,Expected Date,Owner Type Code,Geocode Status,Latitude,Longitude,Facility Type,Restricted Access
Seattle-Tacoma International Airport - General Parking,Seattle,WA,98188,E,,P,200-8,47.443377,-122.296229,AIRPORT,False
Caplan's Rainbow Parking,Seattle,WA,98104,T,2022-12-31,P,200-8,47.604115,-122.332907,PARKING_GARAGE,False
City of Seattle - Central Library,Seattle,WA,98104,E,,LG,200-9,47.606684,-122.332664,LIBRARY,False
City of Seattle - Seattle Center,Seattle,WA,98109,E,,LG,200-8,47.622085,-122.347124,MUNI_GOV,False
KING COUNTY DES KSC STATION #1,Seattle,WA,98104,E,,,GPS,47.598663,-122.331009,,
VIA6 VIA6-SOUTH,Seattle,WA,98121,E,,,GPS,47.613883,-122.339405,,
800 FIFTH AVE STATION 2,Seattle,WA,98104,E,,,GPS,47.605599,-122.330626,,
AMLI SLU AMLI SLU #1,Seattle,WA,98109,T,2023-04-26,,GPS,47.62313,-122.331442,,
UWMC 4245 UWMC 4245 #1,Seattle,WA,98105,E,,,GPS,47.658961,-122.3185,,
UWMC 4225 UWMC 4225 #1,Seattle,WA,98105,E,,,GPS,47.658409,-122.318392,,
BMW SEATTLE BMW SALES,Seattle,WA,98065,E,,,GPS,47.594042,-122.323977,,
525 NORTHGATE RETAIL #1,Seattle,WA,98125,E,,,GPS,47.707951,-122.321496,,
VM CHARGERS VIRGINIA MASON2,Seattle,WA,98101,E,,,GPS,47.609528,-122.326393,,
INSIGNIA 953 EV216,Seattle,WA,98121,E,,,GPS,47.616552,-122.342727,,
MADISON GARAGE MADISON GARAGE2,Seattle,WA,98104,E,,,GPS,47.610087,-122.322114,,
Bedrooms & More,Seattle,WA,98105,E,,P,200-9,47.66159,-122.324877,SHOPPING_CENTER,False
SAFECO PLAZA SAFECO PLAZA #1,Seattle,WA,98154,E,,,GPS,47.606106,-122.333782,,
PSS CHARGEPOINT PSS #2 NORTH,Seattle,WA,98144,T,2023-06-01,,GPS,47.595546,-122.31163,,
PSS CHARGEPOINT PSS #1,Seattle,WA,98144,T,2023-06-13,,GPS,47.595392,-122.311507,,
DUAL EV SOUTH 1,Seattle,WA,98105,E,,,GPS,47.661471,-122.299298,,
KING COUNTY DES KSC STATION #5,Seattle,WA,98104,E,,,GPS,47.599,-122.330804,,
RPNW PSP-COBB #2,Seattle,WA,98101,T,2022-09-09,,GPS,47.60872,-122.336023,,
400 DEXTER AVE 400 DEXTER 1,Seattle,WA,98109,E,,,GPS,47.622264,-122.342164,,
RPNW IBM #1,Seattle,WA,98101,T,2022-09-09,,GPS,47.608495,-122.333054,,
DUAL EV SOUTH 2,Seattle,WA,98105,E,,,GPS,47.661361,-122.298284,,
RPNW FC #1,Seattle,WA,98101,T,2022-09-09,,GPS,47.608017,-122.335273,,
First Hill Medical Building,Seattle,WA,98104,T,2024-04-04,,GPS,47.60636,-122.321639,,
520 Pike Tower,Seattle,WA,98101,E,,,GPS,47.611102,-122.334893,,
Lake Union Building,Seattle,WA,98109,E,,,GPS,47.633992,-122.339684,,
Seattle-Tacoma International Airport - Terminal Direct Parking,Seattle,WA,98188,E,,P,200-8,47.443363,-122.296428,AIRPORT,False
1101 WESTLAKE FB WESTLAKE 2,Seattle,WA,98109,E,,,GPS,47.6289,-122.341536,,
AMLI MARK 24 MARK 24 1,Seattle,WA,98107,T,2023-08-06,,GPS,47.668955,-122.388808,,
DC CORRIDOR PAC SCI L2,Seattle,WA,98109,E,,,GPS,47.619056,-122.352371,,
BMGF BMGF EV 02,Seattle,WA,98109,E,,,GPS,47.623424,-122.345872,,
INSIGNIA 953 215 216,Seattle,WA,98121,E,,,GPS,47.616992,-122.343984,,
Thompson Seattle - Tesla Destination,Seattle,WA,98101,E,,P,200-8,47.610335,-122.341261,HOTEL,
Hotel 1000 - Tesla Destination,Seattle,WA,98104,E,,P,200-9,47.6049041,-122.3361893,HOTEL,
Motif Seattle - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.610166,-122.335179,HOTEL,
Hotel Theodore - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.612347,-122.334168,HOTEL,
Cedarbrook Lodge - Tesla Destination,Seattle,WA,98188,E,,P,200-9,47.4373126,-122.2876227,HOTEL,
Seattle Marriott Waterfront - Tesla Destination,Seattle,WA,98121,E,,P,200-9,47.610845,-122.347258,HOTEL,
Bedrooms & More - Tesla Destination,Seattle,WA,98105,E,,P,200-9,47.661523,-122.324913,SHOPPING_CENTER,
400 Fairview - Tesla Destination,Seattle,WA,98109,E,,P,200-9,47.622544,-122.333913,OFFICE_BLDG,
The Fairmont Olympic Hotel - Tesla Destination,Seattle,WA,98101,E,,P,200-8,47.608043,-122.334072,HOTEL,
Residence Inn by Marriott Seattle University Distric - Tesla Destination,Seattle,WA,98105,E,,P,200-9,47.661869,-122.315415,HOTEL,
Hampton Inn and Suites Seattle-Downtown - Tesla Destination,Seattle,WA,98109,E,,P,200-9,47.625675,-122.346886,HOTEL,
Four Points by Sheraton Downtown Seattle Center - Tesla Destination,Seattle,WA,98109,E,,P,200-9,47.625378,-122.344596,HOTEL,
Hotel Max - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.614141,-122.336357,HOTEL,
Shafer Baillie Mansion Bed & Breakfast - Tesla Destination,Seattle,WA,98112,E,,P,200-9,47.6270468,-122.3149606,B_AND_B,
Four Seasons Hotel Seattle - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.607651,-122.339418,HOTEL,
ALLEN INSTITUTE SOUTH,Seattle,WA,98109,E,,,GPS,47.625077,-122.339032,,
T-MOBILE PARK GRIFFEY,Seattle,WA,98134,E,,,GPS,47.589593,-122.332945,,
Washington Athletic Club Garage - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.609629,-122.333133,,
188 BLAINE ATRIUM4,Seattle,WA,98102,E,,,GPS,47.635213,-122.325845,,
188 BLAINE ATRIUM3,Seattle,WA,98102,E,,,GPS,47.635119,-122.325866,,
VIDA APARTMENTS VIDA 1,Seattle,WA,98115,E,,,GPS,47.678055,-122.314119,,
Broadway Market,Seattle,WA,98102,E,,,GPS,47.622517,-122.321407,,False
The Terminal at Ballard,Seattle,WA,98107,E,,,GPS,47.662307,-122.3697155,,False
Safeway 7300 Roosevelt Way Ne,Seattle,WA,98115,E,,,GPS,47.6825805,-122.317165,,False
AMC Loews Oak Tree 6,Seattle,WA,98133,E,,,GPS,47.7018765,-122.3430745,,False
SCH CURE P1 #5,Seattle,WA,98101,E,,,GPS,47.617016,-122.33408,,
Simon Northgate Mall,Seattle,WA,98125,E,,,GPS,47.70846,-122.32489,,
KW RADIUS RADIUS 1,Seattle,WA,98109,E,,,GPS,47.622575,-122.335481,,
"Walgreens - Seattle, WA #4157",Seattle,WA,98125,E,,,GPS,47.7084377,-122.3179225,,
South Building,Seattle,WA,98133,T,2023-09-11,,GPS,47.7033895,-122.3558363,,
The Commons at Ballard,Seattle,WA,98107,E,,,GPS,47.6699634,-122.3847489,,
Central Co-op,Seattle,WA,98122,T,2023-02-27,,GPS,47.6154894,-122.3110069,,
Juxt,Seattle,WA,98109,T,2022-11-21,,GPS,47.6266892,-122.341933,,
531620 : Centre 425/Everest,Seattle,WA,98109,E,,,GPS,47.6233435,-122.334684,,
Troy Block,Seattle,WA,98109,E,,,GPS,47.6211672,-122.3354501,,
Hill 7 Station,Seattle,WA,98101,E,,,GPS,47.6164918,-122.3324879,,
531628 : 2201 Westlake,Seattle,WA,98109,E,,,GPS,47.61809006,-122.33892,,
531622 : 818 Stewart Street Holdco LLC,Seattle,WA,98101,E,,,GPS,47.6156458,-122.3350555,,
818 Stewart Street Holdco LLC,Seattle,WA,98101,E,,,GPS,47.6156458,-122.3350555,,
531604 : 600 Broadway,Seattle,WA,98122,E,,,GPS,47.6078691,-122.3196562,,
Dimension Seattle,Seattle,WA,98121,T,2023-09-11,,GPS,47.6166344,-122.3495259,,
101 Elliott,Seattle,WA,98121,E,,,GPS,47.619075,-122.359573,,
Inn At The Market,Seattle,WA,98101,T,2022-09-09,,GPS,47.6098122,-122.3413016,,
1201 Third,Seattle,WA,98101,E,,,GPS,47.6072826,-122.3360929,,
Pike Place Market,Seattle,WA,98101,E,,,GPS,47.6091582,-122.3418441,,
Level A,Seattle,WA,98104,T,2023-09-11,,GPS,47.6048564,-122.3338286,,
Second and Seneca Tower,Seattle,WA,98101,E,,,GPS,47.6060061,-122.336716,,
Union Station Parking Garage (#USPG),Seattle,WA,98134,E,,,GPS,47.5975078,-122.328595,,
Slalom Hawk Tower,Seattle,WA,98104,E,,,GPS,47.5980919,-122.3309701,,
531610: Stadium Innovation Center,Seattle,WA,98134,E,,,GPS,47.5892477,-122.3358112,,
Seattle City Light S Service,Seattle,WA,98134,E,,,200-8,47.571333,-122.328404,,
DUAL EV STATION 5,Seattle,WA,98105,E,,,GPS,47.663902,-122.300245,,
P1 Parking Level 1,Seattle,WA,98122,T,2022-09-09,,GPS,47.613651,-122.3183251,,
"Seattle, WA - Union Street (Wall Connector) - Tesla Destination",Seattle,WA,98101,E,,P,200-9,47.610142,-122.331887,,
Walgreens #11856 Seattle WA,Seattle,WA,98109,E,,,GPS,47.619143,-122.34536,,False
Safeway 35th Ave NE,Seattle,WA,98115,E,,,GPS,47.682637521,-122.289884696,,False
Port of Seattle - Shilshole Bay Marina North Lot,Seattle,WA,98117,E,,,GPS,47.68080494,-122.4048611,,
531611 : Amazon Phase VI - Bigness,Seattle,WA,98109,E,,,GPS,47.6241877,-122.3386584,,
Bigness,Seattle,WA,98109,E,,,GPS,47.6241877,-122.3386584,,
531618 : Sidneysea LLC - Brazil,Seattle,WA,98109,E,,,GPS,47.6228746,-122.3394194,,
531619 : Apollo Eight LLC,Seattle,WA,98104,E,,,GPS,47.6039634,-122.3241159,,
Apollo Eight LLC,Seattle,WA,98104,E,,,GPS,47.6039634,-122.3241159,,
